,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
50,7.0,16.0,4.0,34.0,18.0,33.0,10.0,12.0,14.0,22.0,11.0,21.0,13.0,19.0,16.0,8.0,19.0,11.0,4.0,9.0,23.0,13.0,8.0,7.0,14.0,21.0,18.0,13.0,15.0,10.0,13.0,10.0,8.0,23.0,17.0,23.0,8.0,17.0,3.0,16.0,9.0,7.0,9.0,11.0,0.0
51,9.0,12.0,9.0,10.0,2.0,8.0,5.0,5.0,0.0,3.0,7.0,4.0,12.0,15.0,9.0,7.0,19.0,4.0,7.0,6.0,4.0,35.0,13.0,5.0,13.0,7.0,14.0,6.0,11.0,7.0,8.0,18.0,7.0,11.0,16.0,5.0,14.0,9.0,2.0,6.0,8.0,6.0,11.0,10.0,0.0
52,5.0,19.0,6.0,11.0,22.0,10.0,13.0,21.0,16.0,8.0,17.0,9.0,9.0,11.0,24.0,13.0,14.0,12.0,18.0,10.0,18.0,24.0,31.0,6.0,10.0,15.0,13.0,19.0,7.0,13.0,10.0,11.0,21.0,15.0,6.0,21.0,26.0,15.0,7.0,8.0,10.0,15.0,13.0,10.0,0.0
53,11.0,9.0,21.0,14.0,42.0,38.0,23.0,7.0,26.0,40.0,28.0,39.0,16.0,16.0,16.0,21.0,35.0,10.0,12.0,8.0,26.0,13.0,25.0,3.0,16.0,10.0,18.0,6.0,21.0,18.0,12.0,22.0,6.0,16.0,5.0,55.0,22.0,11.0,10.0,27.0,18.0,10.0,8.0,15.0,0.0
54,7.0,12.0,11.0,9.0,7.0,18.0,8.0,4.0,11.0,15.0,16.0,19.0,15.0,7.0,7.0,12.0,16.0,7.0,8.0,7.0,11.0,7.0,9.0,14.0,22.0,15.0,10.0,5.0,25.0,6.0,9.0,8.0,8.0,20.0,15.0,9.0,21.0,8.0,16.0,9.0,16.0,15.0,12.0,3.0,0.0
55,7.0,5.0,20.0,6.0,7.0,16.0,19.0,7.0,2.0,23.0,27.0,19.0,22.0,23.0,13.0,27.0,23.0,11.0,10.0,13.0,12.0,11.0,6.0,15.0,28.0,9.0,8.0,6.0,14.0,7.0,11.0,13.0,12.0,30.0,21.0,40.0,11.0,14.0,10.0,12.0,28.0,15.0,16.0,8.0,0.0
56,8.0,17.0,6.0,10.0,16.0,16.0,12.0,7.0,10.0,7.0,6.0,5.0,17.0,22.0,8.0,14.0,13.0,17.0,16.0,6.0,12.0,5.0,14.0,13.0,14.0,22.0,17.0,9.0,23.0,16.0,16.0,13.0,6.0,12.0,9.0,4.0,26.0,6.0,5.0,6.0,18.0,9.0,9.0,26.0,0.0
57,8.0,6.0,7.0,7.0,16.0,11.0,4.0,6.0,11.0,11.0,9.0,12.0,6.0,3.0,5.0,7.0,8.0,3.0,10.0,6.0,9.0,3.0,16.0,4.0,7.0,1.0,6.0,10.0,4.0,5.0,15.0,12.0,4.0,4.0,1.0,11.0,24.0,8.0,6.0,5.0,8.0,4.0,1.0,15.0,0.0
58,10.0,9.0,10.0,16.0,8.0,14.0,6.0,13.0,10.0,13.0,3.0,16.0,11.0,14.0,10.0,9.0,12.0,16.0,7.0,12.0,20.0,8.0,8.0,8.0,9.0,7.0,10.0,8.0,11.0,12.0,13.0,13.0,8.0,7.0,16.0,3.0,12.0,7.0,2.0,13.0,7.0,2.0,8.0,9.0,0.0
59,26.0,14.0,21.0,10.0,25.0,16.0,26.0,15.0,15.0,14.0,10.0,10.0,20.0,29.0,21.0,34.0,17.0,29.0,15.0,22.0,8.0,29.0,4.0,11.0,25.0,15.0,14.0,19.0,16.0,18.0,17.0,19.0,16.0,25.0,18.0,13.0,20.0,22.0,16.0,24.0,37.0,16.0,20.0,10.0,0.0
60,11.0,8.0,7.0,18.0,15.0,19.0,3.0,10.0,13.0,16.0,11.0,14.0,7.0,14.0,11.0,16.0,15.0,11.0,8.0,10.0,10.0,10.0,14.0,7.0,13.0,9.0,13.0,8.0,18.0,11.0,14.0,12.0,5.0,16.0,7.0,10.0,19.0,8.0,3.0,9.0,13.0,6.0,5.0,12.0,0.0
61,3.0,19.0,7.0,7.0,15.0,11.0,3.0,1.0,17.0,12.0,9.0,19.0,7.0,11.0,10.0,9.0,11.0,7.0,8.0,8.0,13.0,4.0,11.0,6.0,10.0,6.0,10.0,11.0,17.0,9.0,10.0,15.0,4.0,14.0,8.0,9.0,11.0,11.0,0.0,2.0,9.0,1.0,4.0,16.0,0.0
62,7.0,3.0,4.0,1.0,3.0,2.0,5.0,6.0,0.0,0.0,1.0,0.0,7.0,4.0,5.0,6.0,5.0,6.0,9.0,6.0,1.0,2.0,7.0,8.0,8.0,4.0,7.0,3.0,17.0,6.0,5.0,0.0,2.0,3.0,0.0,1.0,13.0,9.0,10.0,4.0,8.0,4.0,7.0,6.0,0.0
63,18.0,8.0,16.0,11.0,16.0,11.0,23.0,2.0,5.0,8.0,17.0,9.0,18.0,11.0,12.0,12.0,22.0,12.0,10.0,10.0,11.0,16.0,19.0,19.0,14.0,3.0,9.0,2.0,35.0,12.0,11.0,10.0,18.0,26.0,5.0,11.0,45.0,6.0,14.0,7.0,19.0,9.0,19.0,9.0,0.0
64,9.0,4.0,8.0,2.0,2.0,6.0,17.0,7.0,3.0,1.0,3.0,3.0,18.0,7.0,9.0,13.0,14.0,7.0,8.0,10.0,10.0,9.0,15.0,8.0,25.0,16.0,12.0,5.0,10.0,11.0,15.0,9.0,10.0,11.0,4.0,7.0,16.0,6.0,7.0,4.0,13.0,8.0,13.0,31.0,0.0
65,12.0,14.0,19.0,15.0,48.0,21.0,16.0,22.0,51.0,17.0,11.0,41.0,18.0,18.0,27.0,14.0,19.0,13.0,22.0,15.0,22.0,31.0,13.0,18.0,24.0,14.0,16.0,21.0,22.0,32.0,16.0,30.0,8.0,23.0,13.0,16.0,13.0,8.0,10.0,19.0,13.0,13.0,14.0,11.0,0.0
66,11.0,23.0,22.0,25.0,18.0,27.0,18.0,5.0,23.0,33.0,35.0,37.0,16.0,15.0,16.0,20.0,23.0,19.0,7.0,18.0,32.0,18.0,10.0,6.0,13.0,17.0,11.0,12.0,14.0,8.0,23.0,23.0,8.0,32.0,33.0,33.0,14.0,9.0,3.0,13.0,12.0,9.0,8.0,16.0,0.0
67,25.0,32.0,18.0,21.0,16.0,42.0,18.0,58.0,14.0,9.0,9.0,15.0,35.0,40.0,38.0,46.0,41.0,28.0,29.0,38.0,23.0,62.0,14.0,20.0,27.0,22.0,28.0,32.0,27.0,41.0,28.0,36.0,22.0,33.0,23.0,20.0,14.0,30.0,15.0,25.0,38.0,13.0,23.0,11.0,0.0
68,6.0,9.0,8.0,13.0,11.0,8.0,9.0,7.0,14.0,15.0,37.0,17.0,9.0,16.0,10.0,6.0,10.0,8.0,8.0,13.0,9.0,15.0,12.0,5.0,6.0,12.0,2.0,5.0,9.0,11.0,5.0,13.0,4.0,18.0,13.0,19.0,10.0,5.0,4.0,4.0,9.0,6.0,10.0,10.0,0.0
69,9.0,22.0,7.0,12.0,11.0,20.0,10.0,6.0,17.0,11.0,4.0,20.0,12.0,12.0,6.0,6.0,16.0,7.0,8.0,2.0,12.0,7.0,17.0,5.0,14.0,18.0,14.0,5.0,11.0,6.0,11.0,11.0,5.0,11.0,11.0,8.0,16.0,5.0,12.0,9.0,10.0,5.0,2.0,10.0,0.0
70,9.0,10.0,22.0,14.0,18.0,12.0,23.0,27.0,6.0,16.0,10.0,11.0,16.0,32.0,23.0,22.0,23.0,35.0,35.0,32.0,24.0,7.0,8.0,12.0,17.0,15.0,23.0,20.0,17.0,30.0,24.0,19.0,12.0,22.0,13.0,16.0,13.0,34.0,6.0,9.0,17.0,3.0,11.0,53.0,0.0
71,28.0,5.0,40.0,11.0,10.0,9.0,53.0,4.0,7.0,23.0,34.0,9.0,14.0,8.0,7.0,14.0,18.0,10.0,16.0,13.0,15.0,27.0,8.0,13.0,9.0,7.0,17.0,2.0,11.0,5.0,10.0,7.0,32.0,36.0,9.0,20.0,13.0,14.0,10.0,10.0,10.0,23.0,9.0,19.0,0.0
72,8.0,12.0,14.0,25.0,16.0,26.0,16.0,4.0,13.0,29.0,49.0,46.0,12.0,22.0,15.0,16.0,25.0,10.0,9.0,19.0,16.0,23.0,17.0,12.0,14.0,14.0,14.0,7.0,11.0,19.0,8.0,22.0,9.0,32.0,22.0,24.0,39.0,10.0,7.0,16.0,16.0,4.0,10.0,16.0,0.0
73,11.0,15.0,3.0,15.0,19.0,21.0,14.0,11.0,12.0,10.0,11.0,27.0,27.0,15.0,15.0,11.0,16.0,20.0,3.0,17.0,15.0,12.0,13.0,12.0,23.0,9.0,17.0,9.0,23.0,10.0,25.0,12.0,6.0,18.0,13.0,17.0,19.0,13.0,15.0,13.0,20.0,9.0,15.0,11.0,0.0
